Lat,Lon,Hike
45.3232,-121.8581,East Zigzag from Devil Canyon Hike
45.3725,-121.8226,East Zigzag from Lost Creek Hike
44.4129,-122.0854,Echo Basin Hike
45.395204,-121.499669,Eightmile Creek Loop Hike
45.4024,-121.6546,Eliot Moraine Hike
45.44673,-121.67765,Elk Cove Hike
45.4024,-121.6546,Elk Cove from Cloud Cap Hike
45.4463,-121.6847,Elk Cove from Pinnacle Ridge Hike
45.442,-121.7255,Elk Cove from Vista Ridge Hike
44.893,-122.00741,Elk Lake Creek Hike
44.893,-122.00741,Elk Lake Hike
45.3231,-121.63575,Elk Meadows Hike
45.3231,-121.63575,Elk Mountain-Elk Meadows Loop Hike
45.66671,-122.63813,Ellen Davis Trail Hike
45.6124,-122.00428,Elowah Falls Hike
45.31009,-121.83719,Enid Lake via Pioneer Bridle Trail Hike
45.57528,-122.12801,Fairy Falls Hike
45.90571,-121.93984,Falls Creek Falls Loop Hike
45.6304,-120.9077,Ferry Springs Hike
45.59581,-122.82419,Firelane 15 Hike
44.82328,-121.79804,Fish Lake-Si Lake Hike
45.35238,-121.5312,Flag Point via Lookout Mountain Hike
46.2874,-121.5522,Foggy Flat Hike
45.64321,-121.95708,Fort Cascades Hike
45.65974,-121.90588,Fort Rains Hike
46.20619,-123.96542,Fort Stevens Loop Hike
46.20619,-123.96542,Fort Stevens Military Loop Hike
46.10142,-123.93547,Fort to Sea Hike
46.14307,-122.32381,Fossil Trail Loop Hike
45.83128,-122.74806,Gee Creek Bottomland Hike
45.65036,-121.93281,Gillette Lake Hike
45.4024,-121.6546,Gnarl Ridge from Cloud Cap Hike
45.3231,-121.63575,Gnarl Ridge from Hood River Meadows Hike
46.46665,-121.52772,Goat Lake Loop Hike
46.15443,-122.26919,Goat Marsh Lake Hike
44.81876,-122.08686,Gold Butte Lookout Hike
45.3238,-121.47617,Gordon Butte-Douglas Cabin Loop Hike
45.68765512,-121.7717743,Gorton Creek Falls Hike
47.91829,-123.38287,Grand Valley Badger Valley Loop Hike
45.79759,-121.74112,Grassy Knoll Hike
45.27813,-121.93965,Green Canyon-Salmon River Loop Hike
44.03114,-121.73567,Green Lakes via Fall Creek Hike
45.62469,-121.7583,Green Point Mountain Loop Hike
42.27228,-122.60624,Grizzly Peak Hike
45.3395,-121.5702,Gumjuwac-Badger Lake Loop Hike
45.29153,-121.56805,Gunsight Butte-Badger Lake Loop Hike
45.63279,-122.01973,Hamilton Mountain Loop Hike
45.64088,-122.03223,Hardy Ridge Loop Hike
45.06491,-123.99545,Hart's Cove Hike
44.8407,-121.9447,Hawk Mountain Lookout Hike
46.15688,-121.41226,Heart Lake Hike
45.6817,-121.84543,Herman Creek Pinnacles Hike
45.6817,-121.84543,Herman Creek-Wyeth Hike
45.3231,-121.63575,Hood River Meadows Loop Hike
46.1694,-121.626,Horseshoe Meadows-Lookingglass Lake Loop Hike
45.38202,-121.85906,Horseshoe Ridge Hike
45.94652,-122.1778,Horseshoe Ridge Loop Hike
45.58948,-122.07531,Horsetail Falls Loop Hike
45.65075,-121.09856,Horsethief Butte Hike
45.5153,-122.71597,Hoyt Arboretum Loop Hike
45.3182,-121.9539,Huckleberry Mountain via Bonanza Trail Hike
45.94652,-122.1778,Huffman Peak Loop Hike
45.82866,-123.96084,Hug Point Hike
46.28179,-122.26305,Hummocks Loop Hike
45.3423,-121.9405,Hunchback Mountain Hike
45.26704,-117.212834,Ice Lake Hike
42.378,-123.8047,Illinois River Hike
45.6817,-121.84543,Indian Point Loop Hike
45.96601,-121.84495,Indian Racetrack Hike
45.90928,-121.80252,Indian Racetrack via the PCT Hike
44.39852,-122.15588,Iron Mountain Hike
44.8598,-122.2646,Jawbone Flats Hike
45.30644,-121.57237,Jean Lake Hike
44.76471,-121.78649,Jefferson Park Ridge Hike
44.7428622,-121.888032,Jefferson Park from South Breitenbush Trailhead
44.70673,-121.874899,Jefferson Park from Whitewater Trailhead Hike
44.76471,-121.78649,Jefferson Park via Park Ridge Hike
45.98032,-121.75946,Junction Lake Hike
46.04756,-121.75645,Junction Lake from Cultus Creek Campground Hike
45.64358,-122.76527,Kelley Point Loop Hike
45.27813,-121.93965,Kinzel Lake Hike
45.79912,-122.75613,Kiwa Trail Loop Hike
45.8233,-121.09857,Klickitat Trail=Klickitat Mineral Springs Hike
45.69668,-121.29019,Klickitat Trail=Lyle to Klickitat Hike
45.72066,-121.00091,Klickitat Trail=Swale Canyon Hike
45.8623,-122.6701,La Center Bottoms Hike
45.70508,-121.3897,Labyrinth Hike
45.7005,-121.4024,Labyrinth Loop Hike
45.58888,-122.3916,Lacamas Creek Hike
45.63653,-122.45984,Lacamas Heritage Trail Hike
45.6029,-122.40615,Lacamas Park Lily Field Hike
46.12755,-122.94369,Lake Sacajawea Loop Hike
46.03426,-121.7162,Lake Wapiki Hike
45.41756,-121.57002,Lamberson Spur Loop Hike
45.68808,-122.68997,Lancaster Falls Hike
45.528057,-122.081494,Larch Mountain Crater Hike
45.57758,-122.117,Larch Mountain Hike
45.528057,-122.081494,Larch Mountain via Oneonta Trail Hike
45.31121,-121.80145,Laurel Hill Chute Loop Hike
46.18128,-122.05417,Lava Canyon from Smith Creek Hike
44.65211,-120.28017,Leaf Hill Loop Hike
46.028241,-121.685815,Lemei Rock via Lemei Trail Hike
46.15469,-121.87958,Lewis River Waterfall Hike
45.54151,-122.37992,Lewis and Clark Park Hike
45.8126,-122.5469,Lewisville Park Loop Hike
45.59628,-122.78428,Linnton Loop Hike
45.63279,-122.01973,Little Beacon Rock Loop Hike
46.16121,-121.40086,Little Mount Adams Hike
44.8344,-122.3499,Little North Fork Hike
45.314,-121.79596,Little Zigzag Falls Hike
46.13053,-121.51556,Lookingglass Lake via Shorthorn Trail Hike
46.140394,-121.597788,Lookingglass Lake via Stagman Ridge Hike
44.339342,-120.358326,Lookout Mountain Hike
45.35238,-121.5312,Lookout Mountain Loop Hike
45.35238,-121.5312,Lookout Mountain-Gumjuwac Creek Loop Hike
45.49672,-121.81979,Lost Lake Butte Hike
45.49672,-121.81979,Lost Lake Loop Hike
45.68808,-122.68997,Lower Starvation Loop Hike
45.84044,-122.44626,Lucia Falls Loop Hike
45.68645,-121.26557,Lyle Cherry Orchard Hike
45.50302,-122.69175,Marquam Nature Park Loop Hike
45.49107,-122.68712,Marquam Trail to Council Crest Hike
45.68259,-121.30065,McCall Point Hike
45.27721,-117.13593,McCully Basin Hike
45.4074,-121.7856,McNeil Point Hike
46.16622,-121.86705,Middle Lewis River Falls Loop Hike
44.6018,-124.05204,Mike Miller Park Loop Hike
44.4396,-120.5807,Mill Creek Wilderness Loop Hike
45.30623,-121.79188,Mirror Lake Hike
44.36267,-121.13835,Misery Ridge Loop Hike
45.57551,-122.13286,Mist Falls Hike
45.70312,-121.61859,Mitchell Point Hike
45.68094,-121.4085,Mosier Twin Tunnels Hike
44.89991,-122.11636,Mother Lode Loop Hike
45.8376,-122.4344,Moulton Falls Hike
46.13623,-121.49754,Mount Adams Summit Hike
44.823,-122.1314,Mount Beachie Hike
44.782993,-122.206872,Mount Beachie via French Creek Ridge Hike
45.68808,-122.68997,Mount Defiance from Columbia River Hike
45.63621,-121.74248,Mount Defiance from Wahtum Lake Road Hike
45.3308,-121.7113,Mount Hood Meadows via White River Canyon Hike
45.48189,-122.51442,Mount Hood Trail Loop Hike
46.04468,-122.19413,Mount Mitchell Hike
45.1106,-122.0223,Mount Mitchell-Cottonwood Meadows Hike
46.14639,-122.18324,Mount Saint Helens Hike
46.14366,-122.235,Mount Saint Helens via Butte Camp Hike
45.3308,-121.7113,Mountaineer Trail Loop Hike
45.57737,-121.79263,Mud Lake Hike
45.4074,-121.7856,Muddy Fork Hike
45.57758,-122.117,Multnomah Falls Hike
45.57758,-122.117,Multnomah-Wahkeena Loop Hike
45.3023,-121.7448,Multorpor Mountain Loop Hike
45.63099,-121.95407,Munra Point from Wahclella Hike
45.6124,-122.00428,Munra Point from Yeon Trailhead Hike
44.76794,-122.27606,Natural Arch Hike
45.74824,-123.96228,Neahkahnie Mountain Loop Hike
45.74824,-123.96228,Neahkahnie Mountain from North Hike
45.74081,-123.93458,Neahkahnie Mountain from South Hike
45.68876,-123.9369,Nehalem Spit Loop Hike
45.10326,-123.98202,Neskowin Beach to Porter Point Hike
45.6124,-122.00428,Nesmith Point Hike
45.6124,-122.00428,Nesmith-Oneonta Traverse Hike
45.6124,-122.00428,Nesmith-Tanner Traverse Hike
45.19277,-123.96727,Nestucca Spit Loop Hike
45.35999,-123.97003,Netarts Spit Hike
46.13402,-123.88054,Netul River Hike
45.6817,-121.84543,Nick Eaton Ridge Loop Hike
45.68765512,-121.7717743,North Lake Hike
45.06675,-122.48973,North Molalla River Trails Loop Hike
45.97899,-122.25488,North Siouxon Creek Hike
46.30384,-124.06314,North and McKenzie Heads Hike
45.46949,-122.65931,Oaks Bottom Loop Hike
44.85778,-121.77327,Olallie Meadows-Olallie Lake Loop Hike
44.82328,-121.79804,Olallie North Loop Hike
44.79475,-121.78971,Olallie and Monon Lakes Loop Hike
45.49052,-122.49717,Old Holgate Hike
45.48963,-122.5176,Old Holgate Hike from Holgate
45.27813,-121.93965,Old Salmon River Hike
45.58948,-122.07531,Oneonta Gorge Hike
44.78939,-122.22681,Opal Lake Hike
42.09961,-123.41011,Oregon Caves Loop Hike
44.462613,-121.283119,Otter Bench Loop Hike
45.442,-121.7255,Owl Point from Vista Ridge Hike
48.154372,-124.6692,Ozette to Rialto Beach Hike
44.66069,-120.27815,Painted Cove Loop Hike
44.65211,-120.28017,Painted Hills Overlook Hike
45.349711,-121.472139,Palisade Point via Fret Creek Hike
44.89991,-122.11636,Pansy Lake Hike
45.31311,-121.81602,Paradise Park Hike
45.3864,-121.831,Paradise Park from Ramona Falls Hike
45.3308,-121.7113,Paradise Park from Timberline Lodge Hike
45.3725,-121.8226,Paradise Park via Burnt Lake Hike
45.87243,-122.71004,Paradise Point Loop Hike
44.94157,-122.32399,Pechuck Lookout Hike
45.442,-121.7255,Perry Lake from Vista Ridge Hike
44.782993,-122.206872,Phantom Natural Bridge Hike
42.03059,-122.57022,Pilot Rock Hike
46.15473,-122.10282,Pine Creek Hike
45.2724,-121.5435,Pine Creek-Badger Butte Loop Hike
44.145447,-120.583402,Pine Lakes Hike
45.53611,-122.71248,Pittock Mansion Hike
46.04876,-121.80935,Placid Lake Loop Hike
45.226877,-121.997466,Plaza Lake Hike
45.59015,-122.06807,Ponytail Falls Hike
45.63279,-122.01973,Pool of the Winds Hike
44.81993,-121.87245,Potato Butte Hike
45.49052,-122.49717,Powell Butte Perimeter Loop Hike
45.49052,-122.49717,Powell Butte Summit Loop Hike
45.49052,-122.49717,Powell Butte Universal Access Hike
45.1504,-121.9273,Pyramid Lake Hike
45.6817,-121.84543,Rainy Lake via Gorton Creek Trail Hike
45.3864,-121.831,Ramona Falls Hike
45.88617,-121.34228,Rattlesnake Falls Hike
45.83128,-122.74806,Ridgefield Wildlife Refuge Hike
45.59015,-122.06807,Rock of Ages Loop Hike
45.55325,-122.57468,Rocky Butte Hike
44.78741,-122.28282,Rocky Top Hike
42.6482,-123.5839,Rogue River Hike
45.54783,-122.2646,Rooster Rock Loop Hike
44.96146,-122.40894,Rooster Rock via High Ridge Trail Hike
44.98118,-122.32154,Rooster Rock via Table Rock Hike
44.3985,-122.3472,Rooster Rock via Trout Creek Trail Hike
45.6029,-122.40615,Round Lake Loop Hike
45.68259,-121.30065,Rowena Plateau Hike
45.63653,-121.91947,Ruckel Ridge Loop Hike
45.6622,-121.89599,Rudolph Spur Loop Hike
44.85778,-121.77327,Russ Lake Loop Hike
45.23159,-122.00897,Salmon Mountain Hike
45.27813,-121.93965,Salmon River Hike
46.10548,-121.604,Salt Creek Hike
45.24571,-123.96749,Sand Lake-Cape Kiwanda Hike
48.154372,-124.6692,Sand Point Cape Alava Hike
45.54496,-122.37747,Sandy River Delta Hike
44.461055,-121.3214,Scout Camp Trail Loop Hike
45.15012,-121.9674,Serene Lake Hike
46.16694,-122.26184,Sheep Canyon Loop Hike
45.23159,-122.00897,Sheepshead Rock Hike
45.54697,-122.1976,Sheppard's Dell Hike
45.15012,-121.9674,Shining Lake Hike
45.47282,-123.96873,Short Beach Hike
44.87543,-122.20246,Silver King Lake via Whetstone Ridge Hike
45.76656,-122.24174,Silver Star Hike
45.76656,-122.24174,Silver Star Loop Hike
45.7804,-122.1666,Silver Star via Bluff Mountain Hike
45.722,-122.2695,Silver Star via Grouse Vista Hike
45.786,-122.2214,Silver Star via Starway Trail Hike
45.722,-122.2695,Silver Star via Sturgeon Rock Loop Hike
45.94652,-122.1778,Siouxon Creek Hike
46.085,-121.6583,Sleeping Beauty Hike
45.61665,-122.7188,Smith and Bybee Lakes Hike
45.89073,-122.06573,Soda Peaks Lake West Hike
45.88162,-121.98018,Soda Peaks Lake via Trapper Creek Hike
45.03968,-122.48929,South Molalla River Trails Loop Hike
46.50873,-121.28105,South Tieton Hike
46.93318,-121.86453,Spray Park Hike
44.42568924,-121.8498802,Square Lake Hike
45.23159,-122.00897,Squaw Mountain Hike
45.23668,-122.05917,Squaw Mountain from Squaw Mountain Road Hike
45.6949,-121.0926,Stacker Butte-Oak Spring Hike
44.7159,-122.142,Stahlman Point Hike
45.68808,-122.68997,Starvation Ridge Hike
45.57024,-122.314586,Steigerwald National Wildlife Refuge Hike
44.394724,-120.62358,Steins Pillar Hike
44.3192,-118.6747,Strawberry Mountain Loop Hike
46.140489,-121.440039,Sunrise Camp Hike
45.64875,-121.97627,Table Mountain Loop Hike
45.64875,-121.97627,Table Mountain from Aldrich Butte Trailhead Hike
45.65036,-121.93281,Table Mountain from Bonneville Hike
44.98118,-122.32154,Table Rock Hike
44.98118,-122.32154,Table Rock-Image Creek Loop Hike
44.10078,-121.62198,Tam McArthur Rim Hike
45.41756,-121.57002,Tamanawas Falls Hike
45.63364,-121.95004,Tanner Butte Hike
45.63364,-121.95004,Tanner Creek Hike
45.63364,-121.95004,Tanner Cutoff Loop Hike
45.63364,-121.95004,Tanner-Eagle Traverse Hike
46.00555,-121.83761,Thomas Lake Hike
45.31118,-117.30721,Thorp Creek Hike
45.97241996,-123.958397,Tillamook Head Traverse Hike
45.4024,-121.6546,Tilly Jane Hike
45.4024,-121.6546,Timberline Trail around Mount Hood Hike
47.8888,-124.5984,Toleak Point Hike
45.58832,-122.77881,Tolinda-Ridge Trail Loop Hike
46.93318,-121.86453,Tolmie Lookout via Eunice Lake Hike
45.30623,-121.79188,Tom Dick and Harry Mountain Hike
45.90928,-121.80252,Tombstone Lake via the PCT Hike
45.57737,-121.79263,Tomlike mountain hike
45.63364,-121.95004,Tooth Rock Loop Hike
44.2593,-121.7871,Trail around Three Sisters Hike
46.099318,-122.213287,Trail of Two Forests Loop Hike
45.2672,-121.7389,Trillium Lake Loop Hike
45.58849,-122.07849,Triple Falls Hike
45.44101,-122.6748,Tryon Creek State Park Hike
44.823,-122.1314,Twin Lakes from Elk Lake Hike
44.87543,-122.20246,Twin Lakes via Whetstone Ridge Hike
45.64875,-121.97627,Two Chiefs Trail Hike
45.3231,-121.63575,Umbrella Falls Loop Hike
45.6124,-122.00428,Upper McCord Creek Falls Hike
45.9305,-122.0655,Upper Siouxon Creek Loop Hike
45.62298,-122.67721,Vancouver Discovery Loop Hike
45.24797,-121.78766,Veda Lake Hike
45.63099,-121.95407,Wahclella Falls Hike
45.57528,-122.12801,Wahkeena Falls Hike
45.6817,-121.84543,Wahtum Lake via Herman Creek Hike
45.6817,-121.84543,Wahtum Lake via Pacific Crest Trail Hike
45.63653,-121.91947,Wahtum Lake via Ruckel Creek Hike
45.52147,-122.70228,Washington Park Loop Hike
45.58752,-122.38787,Washougal River Greenway Loop Hike
45.62469,-121.7583,Waucoma Lakes Loop Hike
45.63364,-121.95004,Wauna Point Hike
45.63653,-121.91947,Wauna Viewpoint from Eagle Creek Hike
45.63364,-121.95004,Wauna Viewpoint from Tooth Rock Hike
44.893,-122.00741,Welcome Lakes Loop Hike
45.7971,-121.4429,Weldon Wagon Road Hike
45.31073,-121.73023,West Fork Falls Hike
45.3232,-121.8581,West Zigzag From Devil Canyon Hike
45.3452,-121.9298,West Zigzag Hike
44.87543,-122.20246,Whetstone Mountain Hike
45.74498,-122.69283,Whipple Creek Loop Hike
45.57391,-122.61391,Whitaker Ponds Loop Hike
44.4333,-121.3577,Whychus Creek Hike
45.9657,-121.3464,Willard Springs Loop Hike
45.71342,-121.75183,Wind Mountain Hike
44.5568,-121.62,Wizard Falls Loop Hike
46.0922,-121.7656,Wood Lake via Sawtooth Mountain Hike
45.6029,-122.40615,Woodburn Falls Hike
45.45751,-122.7263,Woods Park Loop Hike
45.70312,-121.61859,Wygant Peak Hike
45.83166,-122.38903,Yacolt Falls Hike
44.67536,-124.07417,Yaquina Head Hike
45.3864,-121.831,Yocum Ridge Hike
45.31355,-121.79973,Zigzag Overlook from Hidden Lake Hike
45.3308,-121.7113,Zigzag Overlook from Timberline Lodge Hike
